LEFT	NODE	RIGHT	SYNTAX	DATIVE_PREP_TYPE	ARG_ORDER
nn dan/cc oksigen/nn pada/in lapisan/nn kulit/nnc yang/sc lebih/rb dalam/in dan/cc mati/vbi untuk/in	memberi	jalan/nnc bagi/in sel-sel/nn baru/rb ./.	datif	bagi	NA
is/nn jankovic/nn sebelum/sc melakukan/vbt servis/nn untuk/in menyudahi/nn pertandingan/nnc tanpa/rb	memberi	angka/nnc pada/in lawannya/nn untuk/in meraih/nn kemenangan/nn ./.	datif	pada	NA
cdp mata/nnc nyaris/nn bulat/nn ,/, masing-masing/dt hampir/rb separuh/nn ukuran/nn kepalanya/nn ,/,	memberi	serangga/nn ini/dt wilayah/nnc pandang/nnu yang/sc sangat/rb luas/jj ./.	objek ganda	NA	REC_TH
perubahan/nn akan/md	memberi	dorongan/nn bagi/in kegaitan/nn -lrb-/nn politik/jj -rrb-/nn partai/nnp akan/md mengakhiri/nn perda	datif	bagi	NA
ruu/nn tersebut/dt akan/md	memberi	kuasa/nn pada/in pengadilan/nnc untuk/in memerintakan/nn pemberian/nnu sim/nn semacam/rb itu/dt seb	datif	pada	NA
gen/nn tersebut/dt ,/, ketika/sc diwariskan/vbt dalam/in bentuk/nnc cacat/nn ,/, mungkin/rb dapat/md	memberi	kecenderungan/nnu besar/jj bagi/in wanita/nnc terhadap/in kanker/nn ./.	datif	bagi	NA
wewenang/nn lebih/rb besar/jj kepada/in polisi/nnc untuk/in melakukan/vbt penangkapan/pengolahan ,/,	memberi	kekuasaan/nnu lebih/rb besar/jj kepada/in pihak/nnc berwenang/nn untuk/in mengontrol/nn komunikasi/	datif	kepada	NA
ketika/nn sayap/nn berada/vbi dalam/in gerakan/nnc ke/in atas/in ,/, bulu-bulunya/nn terbuka/jj ,/,	memberi	jalan/nnc pada/in aliran/nnu udara/nn ./.	datif	pada	NA
saran/nn pemegang/nnc obligasi/nn ,/, mengatakan/vbi bahwa/sc revco/nn sangat/rb lamban/nn dalam/in	memberi	tanggapan/nn kepada/in proposal/nn ./.	datif	kepada	NA
negara/nn islam/nn irak/nn telah/md	memberi	pemerintah/nnc -lrb-/nn perdana/nn menteri/nn nuri/nn -rrb-/nn al-maliki/nn waktu/nnc 24/cdp jam/nn	objek ganda	NA	REC_TH
ia/nn memuji/vbt para/dt imam/nn arab/nn saudi/nn karena/cc	memberi	saran/nn yang/sc jelas/vbt kepada/in jamaah/nn haji/nn mengenai/vbt tatacara/nn pelaksanaan/nn jumr	datif	kepada	NA
eraguan/nn tentang/in pencalonannya/nn ,/, warga/nnc kulit/nnc putih/nn new/nn york/nn --/-- yang/sc	memberi	mr./nn dinkins/nn 30/cdp %/sym dari/in suara/nnc mereka/prp di/in pemilihan/nnu pendahuluan/nn -/-	objek ganda	NA	REC_TH
seorang/nn pejabat/nnc militer/nn senior/nn as/nn ,/, yang/sc	memberi	informasi/nnu kepada/in wartawan/nnc asalkan/nn identitasnya/nn tidak/neg diungkap/nn ,/, mengataka	datif	kepada	NA
radio/nn jovem/nn pan/nn terjadi/nn kesalahan/nnc prosedural/nn ketika/sc ia/prp menulis/vbt ia/prp	memberi	kartu/nnc pada/in pemain/nnc nomor/nn lima/cdp bukannya/nn nomor/nn delapan/cdp ./.	datif	kepada	NA
saat/sc ini/dt akan/md dinaikkan/nn menjadi/vbt $/nn 124,875/nn ,/, dan/cc undang-undang/nnc ini/dt	memberi	departemen/nnc perumahan/nn dan/cc pengembangan/nnp kota/nnc kekuasaan/nnu baru/rb untuk/in memfasi	objek ganda	NA	REC_TH
i/nn ,/, pemain/nnc tengah/nnp chelsea/nn john/nn obi/nn mikel/nn mencetak/nn satu/cdp gol/nn dan/cc	memberi	umpan/nn matang/nn pada/in gol/nn lainnya/nng saat/sc nigeria/nn akhirnya/rb menang/nn ./.	datif	pada	NA
bahwa/sc perubahan/nnu serupa/jj yang/sc diamati/nn pada/in perokok/nn dan/cc mantan/nnc perokok/nn	memberi	sumbangan/nn bagi/in kecanduan/nn mereka/prp ,/, kata/vbt hope/nn dalam/in suatu/dt pernytaan/nn ./	datif	bagi	NA
erakting/nn di/in luar/jj naskah/nn tidak/neg berguna/vbi di/in cbs/nn news/nn ,/, yang/sc pernah/rb	memberi	gengsi/nn ke/in jaringan/nnc dan/cc membuat/vbt standar/nnc untuk/in industri/nnu ./.	datif	ke	NA
burns/nn menyebut/vbt rencana/nnu tersebut/dt usul/nn kredibel/nn yang/sc serius/jj guna/nn	memberi	otonomi/nn nyata/nn bagi/in sahara/nn barat/nn ,/, demikian/dt antara/nnp lain/jj isi/nn pernyataan	datif	bagi	NA
mantan/nn presiden/nnc irak/nn itu/dt	memberi	makan/nnu burung/nn dengan/in menggunakan/vbt potongan/nn roti/nn dari/in makanannya/nn yang/sc ia/	objek ganda	NA	TH_REC
struktur/nn tubuh/nnc lumba-lumba/nn yang/sc berbentuk/nn kumparan/nn	memberi	mereka/prp kemampuan/nn bergerak/vbi sangat/rb cepat/nnp di/in dalam/in air/nnu ./.	objek ganda	NA	REC_TH
bawah/nn klasemen/nn dengan/in 17/cdp poin/nn ,/, semata-mata/nn tidak/neg cukup/jj kuat/jj untuk/in	memberi	tekanan/nnu pada/in berlin/nn ./.	datif	pada	NA
hal/nnc tersebut/dt	memberi	mereka/prp ancaman/nnu untuk/in melakukan/vbt pemogokan/nn dan/cc kemampuan/nn untuk/in menolak/vbt	objek ganda	NA	REC_TH
pihak/nn soviet/nn berharap/vbt perjanjian/nn perdagangan/nn akan/md	memberi	mereka/prp status/nnu most/nn favored/nn nation/nn ,/, yang/sc akan/md merendahkan/vbt tarif/nn eks	objek ganda	NA	REC_TH
aya/nn memacu/nn pertumbuhan/nnu tersebut/dt merupakan/vbt prioritas/nn ,/, setelah/sc sebelumnya/sc	memberi	perhatian/nnc lebih/rb besar/jj terhadap/in pengendalian/nnp inflasi/nn pada/in tahun/nnc ini/dt ./	datif	terhadap	NA
gol/nn juan/nn arango/nn pada/in babak/nn kedua/cdp	memberi	sedikit/jj keuntungan/nn bagi/in real/nn mallorca/nn setelah/sc mereka/prp mengalahkan/vbt pemimpin	datif	bagi	NA
induk/nn yang/sc merawatnya/nn itu/dt	memberi	makan/nnu anak/nnc cuckoo/nn ,/, yang/sc dikiranya/nn anaknya/nn sendiri/jj ,/, dengan/in hati-hati	objek ganda	NA	TH_REC
bank/nn indonesia/nn menegaskan/nn akan/md segera/rb	memberi	sinyal/nn positif/nn ke/in pasar/nnc pada/in pertemuan/nnu dewan/nn gubernur/nn mendatang/nnu untuk	datif	ke	NA
pendukung/nn mengatakan/vbi kontrak/nn berjangka/nn membuat/vbt pasar/nnc lebih/rb efisien/nn dan/cc	memberi	jalan/nnc bagi/in investor/nnc untuk/in menurunkan/vbt resiko/nn ./.	datif	bagi	NA
n/vbt tersebut/dt ,/, termasuk/vbt saham/nnc metromedia/nn yang/sc baru/rb diakuisisi/nn ,/, akan/md	memberi	pada/in entitas/nn baru/rb tersebut/dt 55/cdp juta/cdp pelanggan/nn potensial/nn ,/, termasuk/vbt s	datif	pada	REC_TH
kai/vbt berbeda/vbi ,/, namun/cc demikian/dt setiap/dt bri/nn unit/nn tersebut/dt tetap/jj mampu/vbt	memberi	kontribusi/cdp laba/nn bagi/in bri/nn ./.	datif	bagi	NA
deivid/nn salah/jj tingkah/nnp ketika/sc	memberi	angka/nnc kepada/in lawannya/nn chelsea/nn ,/, karena/cc melakukan/vbt gol/nn bunuh/nn diri/nnc pad	datif	kepada	NA
bi prodi/nn hanya/rb akan/md memerintah/vbt selama/sc beberapa/cdi bulan/nnc dan/cc 22/cdp persen/jj	memberi	dia/prp waktu/nnc 1/cdp sampai/vbt 2/cdp tahun/nnc ,/, tapi/cc bukan/neg masa/nnc jabatan/nn penuh/	objek ganda	NA	REC_TH
struktur/nn berpori/nn ini/dt	memberi	telur/nn kelenturan/nn tambahan/nnu dan/cc meningkatan/nn ketahanannya/nn terhadap/in benturan/nn .	objek ganda	NA	REC_TH
keuntungan/nn ini/dt seharusnya/jj	memberi	kami/prp kepercayaan/nnu diri/nnc untuk/in menghadapi/vbt sisa/nn pertandingan/nnc ,/, katanya/nng	objek ganda	NA	REC_TH
dan/cc sembilan/cdp menit/nn kemudian/sc aiyegbeni/nn yakubu/nn menyamakan/vbt kedudukan/nn untuk/in	memberi	harapan/nnu kepada/in everton/nn untuk/in mencapai/vbt babak/nn final/nn piala/nn carling/nn itu/dt	datif	kepada	NA
mereka/prp mengklaim/nn bahwa/sc fed/nn akan/md pertama-tama/nn	memberi	lampu/nn hijau/nn pada/in ekonomi/nnu dengan/in cara/nnc membuat/vbt kredit/nn tersedia/vbi dengan/	datif	pada	NA
anggota/nn parlemen/nn	memberi	suara/nnc 54/cdp berbanding/nn 28/cdp terhadap/in pemerintah/nnc perdana/nn menteri/nn aristide/nn	datif	terhadap	NA
n dua/cdp resolusi/nn baru/rb yang/sc melarang/vbt kebebasan/nn kooperasi/nn :/: yang/sc pertama/cdo	memberi	kemampuan/nn soviet/nn untuk/in menetapkan/vbt harga/nnc pada/in barang/nnc yang/sc boleh/md dijual	objek ganda	NA	TH_REC
struktur/nn ini/dt	memberi	tulang/nnc keluwesan/nn dan/cc keringanan/nn tanpa/rb harus/md kehilangan/vbt kekuatannya/nn ./.	objek ganda	NA	REC_TH
k/in indonesia/nn ,/, joachim/nn von/nn amsberg/nn mengatakan/vbi bank/nn dunia/nn tidak/neg lagi/in	memberi	pinjaman/nn murah/jj pada/in indonesia/nn menyusul/vbt keberhasilan/nnp indonesia/nn masuk/vbt dala	datif	pada	NA
sensor-sensor/nn yang/sc ada/vbi pada/in indra/nn manusia/nnc	memberi	inspirasi/nn pada/in perlunya/nn sensor-sensor/nn biomimetik/nn ./.	datif	pada	NA
residen/nnc irak/nn saddam/nn hussein/nn adalah/vbt orang/nnc yang/sc keranjingan/nn membaca/vbt ,/,	memberi	makan/nnu burung/nn dan/cc suka/vbi berkelakar/nn sewaktu/nn ia/prp berada/vbi dalam/in tahanan/nn	objek ganda	NA	TH_REC
hal/nn tersebut/dt	memberi	mereka/prp keuntungan/nn strategi/nn yang/sc patut/nn dicemburui/nn ,/, paling/jj tidak/neg sampai/	objek ganda	NA	REC_TH
reaksi/nn dari/in pelaku/nnc lokal/nnu dengan/in membaiknya/nn yen/nn yang/sc diharapkan/vbi akan/md	memberi	nilai/nnc positif/nn terhadap/in rupiah/nn ,/, tambahnya/nng ./.	datif	terhadap	NA
pertemuan/nn puncak/nnu luar/jj biasa/jj itu/dt	memberi	mandat/nn yang/nn mulia/nn presiden/nn thabo/nn mbeki/nn untuk/in terus/rb memfasilitasi/nn dialog/	objek ganda	NA	TH_REC
saya/prp hanya/rb bisa/md	memberi	selamat/nn bagi/in belanda/nn ,/, mereka/prp tim/nnp yang/sc lebih/rb baik/jj dan/cc pantas/jj mena	datif	bagi	NA
ia/nn menemui/nn saddam/nn dua/cdp kali/nnc sehari/nnc ,/,	memberi	dia/prp obat/nn setiap/dt hari/nnc ,/, memeriksa/vbt tekanan/nnu temperaturdan/nn darahnya/nn dan/c	objek ganda	NA	REC_TH
minggu/nn lalu/jj ,/, presiden/nnc telah/md setuju/nn untuk/in terus/rb	memberi	informasi/nnu pada/in komite/nn ,/, biasanya/jj sebelumnya/sc ,/, tentang/in aksi-aksi/nn terselubu	datif	pada	NA
dua/cdp tendangan/nn jarak/nn jauh/jj yang/sc mengesankan/vbt pada/in menit-menit/nn terakhir/jj	memberi	tunisia/nn dan/cc afrika/nn selatan/nn bermain/jj imbang/nn dalam/in pertandingan/nnc pembuka/nn gr	objek ganda	NA	REC_TH-clausal
alves/nn dan/cc seydou/nn keita/nn	memberi	sevilla/nn keunggulan/nn 2-0/nn pada/in 10/cdp menit/nn pertama/cdo namun/cc gol/nn dari/in striker	objek ganda	NA	REC_TH
/nn bahwa/sc pengadilan/nnc belum/neg terjadi/vbi menjengkelkan/nn kami/prp dan/cc kami/prp sudah/md	memberi	alasan/nn sangat/rb kuat/jj kepada/in amerika/nn serikat/nn bahwa/sc persoalan/nn itu/dt perlu/md d	datif	kepada	NA
italia/nn gianluca/nn zambrotta/nn melakukan/vbt handsball/nn di/in area/nnc penalti/nn sehingga/sc	memberi	tendangan/nn penalti/nn bagi/in levante/nn ,/, yang/sc dilakukan/vbi dengan/in pantas/jj oleh/in ri	datif	bagi	NA
pasalnya/nn ,/, kegiatan/nnu ini/dt bukan/neg bisnis/nn inti/nn antam/nn dan/cc hanya/rb	memberi	kontribusi/cdp yang/sc sangat/rb kecil/jj pada/in perseroan/nn ./.	datif	pada	NA
sedangkan/nn ,/, kinerja/nn ekspor/nn non/nn migas/nn yang/sc pada/in 2006/nn	memberi	kontribusi/cdp sangat/rb besar/jj pada/in pertumbuhan/nnu ,/, akan/md mengalami/vbt kenaikan/nn per	datif	pada	NA
t perjalanan/nnu setelah/sc menunjukkan/vbt surat/nnc dari/in pemerintah/nnc setempat/jj ,/, yang/sc	memberi	kelonggaran/nn khusus/jj kepadanya/nn saat/sc melanggar/vbt hukum/nnu ./.	datif	kepada	NA
sebelumnya/nn ,/, marcelinho/nn mencetak/nn gol/nn saat/sc perpanjangan/nn waktu/nnc untuk/in	memberi	vfl/nn wolfsburg/nn kemenangan/nn 2-1/nn atas/in hamburg/nn sv/nn dalam/in pertandingan/nnc perempa	objek ganda	NA	REC_TH
otot-otot/nn biologi/nn sebagai/sc penggerak/nn	memberi	inspirasi/nn pada/in otot-otot/nn buatan/nn untuk/in pengembangan/nnp mesin/vbt atau/cc robot/nn bi	datif	pada	NA
n mengkaji/nn kebijakan/nnu anti-gangguan/nn mereka/prp setiap/dt tiga/cdp tahun/nnc dan/cc mesti/nn	memberi	perhatian/nnc lebih/rb besar/jj bagi/in korban/nnc gangguan/nnu dalam/in kesehatan/nnu masyarakat/n	datif	bagi	NA
pihak/nn perbankan/nn kebanyakan/nnu akan/md merasa/vbt sia-sia/nn dalam/in	memberi	pelayanan/nnu kepada/in mereka/prp ./.	datif	kepada	NA
seorang/nn arbitrator/nn memutuskan/vbi	memberi	pilot-pilot/nn eastern/nn airlines/nn tunggakan/nn pembayaran/nn mereka/prp sejumlah/cdi antara/nnp	objek ganda	NA	REC_TH
gol/nn robbie/nn keane/nn yang/sc ke-99/jj bagi/in tottenham/nn	memberi	timnya/nn kemenangan/nn 1-0/nn di/in kandang/nn reading/nn ./.	objek ganda	NA	REC_TH
el-lah/nn yang/sc menyiapkan/vbt gol/nn dengan/in umpan/nn yang/sc melewati/nn pertahanan/nn yang/sc	memberi	ruang/nnc bagi/in pantelic/nn dan/cc pemain/nnc asal/nn serbia/nn itu/dt tidak/neg membuat/vbt kesa	datif	bagi	NA
engan/in perilaku/nn mr./nn dinkins/nn di/in berbagai/cdi rapat/jj sampai-sampai/nn ia/prp tidak/neg	memberi	dukungannya/nn untuk/in usaha/nnu mr./nn dinkins/nn meraih/nn jabatan/nn walikota/nn sampai/vbt akh	datif	untuk	NA
mereka/prp adalah/vbt tim/nnp top/nn dan/cc selalu/rb	memberi	kami/prp permainan/nn yang/sc hebat/jj ./.	objek ganda	NA	REC_TH
in washington/nn ,/, menang/nn dalam/in pemilihan/nnu anggota/nnc badan/nn legislatif/nn sehingga/sc	memberi	organisasi/nn perlawanan/nn islam/nn tersebut/dt wewenang/nn atas/in pemerintah/nnc dan/cc menolak/	objek ganda	NA	REC_TH
sikan/nn kepada/in setiap/dt pengelola/nnp dananya/nn bahwa/sc mereka/prp akan/md dilepas/nn bila/sc	memberi	bisnis/nn ke/in firma-firma/nn perdagangan/nn program/nnp ./.	datif	ke	NA
mutasi/nn tidak/neg dapat/md	memberi	makhluk/nn hidup/nnc organ/nn atau/cc sifat/nn baru/rb ./.	objek ganda	NA	REC_TH
rena/cc wigan/nn tengah/nnp berjuang/vbi melawan/nn degradasi/nn ,/, tapi/cc pertandingan/nnc ini/dt	memberi	mereka/prp semacam/rb hiburan/nnu dari/in kesulitan/vbi dalam/in liga/nn ./.	objek ganda	NA	REC_TH
u pemikiran/nn ''/nn dengan/in gedung/nn putih/nn ,/, dan/cc bahwa/sc komite/nn tersebut/dt telah/md	memberi	mr./nn bush/nn ``/nn awal/jj yang/sc bersih/vbi ''/nn ,/, bebas/jj dari/in rintangan-rintangan/nn y	objek ganda	NA	REC_TH
saya/prp nyaris/nn tidak/neg	memberi	peluang/nnu memukul/nn kepada/in arron/nn satu/cdp lubang/nn pun/rp ./.	datif	kepada	NA
inggris/nn ,/, jumat/nn ,/, meminta/vbt para/dt pejabat/nnc pbb/nn untuk/in	memberi	penjelasan/nn kepada/in dewan/nn keamanan/nn -lrb-/nn dk/nn -rrb-/nn mengenai/vbt penindasan/nn pol	datif	kepada	NA
tentu/nn si/rp induk/nnc akan/md kesulitan/vbi menemukan/vbt dan/cc	memberi	makan/nnu anaknya/nn akibat/nnu cuaca/nn yang/sc ganas/nn dan/cc jauhnya/nn jarak/nn mereka/prp den	objek ganda	NA	TH_REC
gol/nn tersebut/dt	memberi	tim/nnp asuhan/nn michael/nn laudrup/nn kesempatan/nnu untuk/in tetap/jj hidup/nnc dan/cc mereka/pr	objek ganda	NA	REC_TH
uksi/nn di/in west/nn virginia/nn ,/, pak/nn bush/nn meminta/vbt $/nn 4.5/nn juta/cdp ;/, kongres/nn	memberi	negara/nnc bagian/nnc senator/nn byrd/nn 's/nn state/nn $/nn 21.5/nn juta/cdp \*/nn u/nn \*/nn ./.	objek ganda	NA	REC_TH
n yang/sc mendamaikan/nn kelihatannya/nn ditujukan/vbi untuk/in menyiapkan/vbt negosiasi/nn untuk/in	memberi	hak/nnu politik/jj bagi/in warga/nnc kulit/nnc hitam/jj ./.	datif	bagi	NA
gol/nn hat-trick/nn dari/in samuel/nn eto'o/nn membantu/vbt barcelona/nn	memberi	tekanan/nnu pada/in pemimpin/nnc klasemen/nn real/nn madrid/nn saat/sc mereka/prp menang/nn kandang	datif	pada	NA
gkap/nn sejumlah/cdi tersangka/nn dalam/in pembunuhan/nn empat/cdp warganegara/nn perancis/nn dan/cc	memberi	waktu/nnc 24/cdp jam/nnc kepada/in dua/cdp warga/nnc saudi/nn untuk/in menyerahkan/vbt diri/nnc ./.	datif	kepada	NA
c yang/sc dicetak/nn pada/in kertas/nnc mengkilap/nn itu/dt diluncurkan/nn bulan/nnc ini/dt untuk/in	memberi	400.000/nn remaja/nn muslimah/nn amerika/nn perspektif/nn hidup/nnc dan/cc sangat/rb relevan/nn den	objek ganda	NA	REC_TH
/nn bury/nn pada/in menit/nn ke-61/nn dan/cc ,/, meskipun/cc pemain/nnc veteran/nn dion/nn dublin/nn	memberi	harapan/nnu bagi/in norwich/nn pada/in menit/nn ke-86/nn ,/, tim/nnp tuan/nnc rumah/nnc bertahan/vb	datif	bagi	NA
li/vbt 22/cdp juta/cdp saham/nnc lin/nn seharga/nn $/nn 125/nn per/nnu lembar/nn ,/, yang/sc akan/md	memberi	mccaw/nn 50.3/jj %/sym hak/nnu pengendalian/nnp ./.	objek ganda	NA	REC_TH
merebut/vbt 10/cdp poin/nn untuk/in unggul/nn 57-47/nn pada/in paruh/nn pertama/cdo dan/cc tidak/neg	memberi	kesempatan/nnu kepada/in wizards/nn untuk/in memperkecil/nn ketertinggalan/nn ./.	datif	kepada	NA
sel-sel/nn inilah/nn yang/sc	memberi	warna/nn pada/in darah/nn dan/cc tentunya/nn ,/, juga/rb kulit/nnc kita/prp ./.	datif	pada	NA
mbangan/nn cray-3/nn yang/sc sedang/rb dijalankan/vbt oleh/in tim/nnp dia/prp dan/cc yang/sc akan/md	memberi	cray/nn computer/nn $/nn 98.6/nn juta/cdp ./.	objek ganda	NA	REC_TH
menurunkan/nn tim/nnp eksperimental/nn dalam/in usahanya/nn	memberi	pengalaman/nnu bagi/in para/dt pemain/nnc muda/jj untuk/in 2010/nn ,/, afrika/nn selatan/nn menyara	datif	bagi	NA
n/nnu bagi/in pendukung/nnu di/in kandang/nn sendiri/jj di/in stade/nn saint-symphorien/nn ketika/sc	memberi	angka/nnc untuk/in metz/nn saat/sc pertandingan/nnc baru/rb berlangsung/vbi tiga/cdp menit/nn tetap	datif	untuk	NA
mereka/prp	memberi	saya/prp kebaikan/nn ./.	objek ganda	NA	REC_TH
apa/nn yang/sc saya/prp lakukan/vbi tahun/nnc lalu/jj adalah/vbt masa/nnc lalu/jj tetapi/cc	memberi	saya/prp banyak/jj kegembiraan/nn dan/cc banyak/jj pengalaman/nnu ,/, dan/cc semoga/jj saya/prp bis	objek ganda	NA	REC_TH
kan/vbt sedikit/jj bukti/nnu mengenai/vbt nenek/nn moyang/nn langsung/jj mereka/prp dan/cc tidak/neg	memberi	bukti/nnu sama/in sekali/nnc bagi/in tahap-tahap/nn awal/jj dalam/in asal/nn usul/nn kemampuan/nn t	datif	bagi	NA
anda/nn harus/md	memberi	tim/nnp itu/dt kredit/nn ,/, ujar/nn pelatih/nn cleveland/nn mike/nn brown/nn kepada/in bulls/nn ./	objek ganda	NA	REC_TH
an/nnc tersebut/dt mengajukan/nn penyelesaian/nn utang/nn yang/sc lebih/rb menjanjikan/vbt dengan/in	memberi	mereka/prp persamaan/nn resiko/nn secara/in substansial/nn di/in perusahaan/nnc ./.	objek ganda	NA	REC_TH
dia/prp juga/rb	memberi	konsultasi/nn kepada/in ahli/nnc sejarah/nn ,/, menggalang/vbt kerja/nnu sama/in antarlembaga/nn ak	datif	kepada	NA
dengan/in nama/nnc muslim/nn girl/nn telah/md diluncurkan/nn bulan/nnc ini/dt ,/, sehinga/jj akan/md	memberi	lebih/rb dari/in 400.000/nn remaja/nn muslimah/nn di/in amerika/nn serikat/nn kesempatan/nnu untuk/	objek ganda	NA	REC_TH
anggota/nnc parlemen/nn oposisi/nn di/in kursi/vbi pemerintahan/nn akhir/jj bulan/nnc lalu/jj dan/cc	memberi	10/cdp orang/nnc dari/in mereka/prp posisi/nnc di/in kabinet/nn ./.	objek ganda	NA	REC_TH
biasanya/nn ,/, hart-scott/nn digunakan/vbt sekarang/sc untuk/in	memberi	para/dt manager/nn dari/in perusahaan/nnc target/nn berita/nnc awal/jj dari/in sebuah/nnc penawaran	objek ganda	NA	REC_TH
an/nn ini/dt menggunakan/vbt arus/nn listrik/nn ini/dt untuk/in membunuh/nn pemangsanya/nn dengan/in	memberi	mereka/prp kejutan/cdp listrik/nn ./.	objek ganda	NA	REC_TH
marokko/nn ,/, rabu/nn ,/, menyerahkan/vbt rencananya/nng untuk/in	memberi	otonomi/nn bagi/in wilayah/nnc sengketa/nn sahara/nn barat/nn kepada/in sekretaris/nn jenderal/nn p	datif	bagi	NA
/prp menjadi/vbt nomor/nn satu/cdp atau/cc mencapai/vbt hasil/nnu terbaik/jj saya/prp itu/dt yang/sc	memberi	saya/prp hasil/nnu yang/sc baik/jj ./.	objek ganda	NA	REC_TH
bergerak/vbi ,/, karena/cc ketika/sc sektor/nnc riil/nn bergerak/vbi dunia/nnp perbankan/nn akan/md	memberi	kredit/nn kepada/in sektor/nnc riil/nn ,/, dengan/in demikian/dt secara/in otomatis/nn dana/nnc di/	datif	kepada	NA
