LEFT	NODE	RIGHT
dia/prp	memberi/vbt	makan/nnu dan/cc melindungi/nn telurnya/nn dengan/in menggunakan/vbt labah-labah/nn terbesar/jj dan
mantan/nn presiden/nnc irak/nn itu/dt	memberi/vbt	makan/nnu burung/nn dengan/in menggunakan/vbt potongan/nn roti/nn dari/in makanannya/nn yang/sc ia/
rtandingan/nnc leg/nn pertama/cdo 2-0/rb di/in rome/nn pekan/nn lalu/jj ,/, diperkirakan/vbt akan/md	memberi/vbt	kabar/nn terbaru/nn mengenai/vbt ferdinand/nn dalam/in konferensi/nnu pers/nnc pra-pertandingan/nn
namun/nn pejabat/nnc	memberi/vbt	tanda/nn ,/, bahwa/sc sas/nn akan/md mengambil/nn paling/jj tidak/neg 6/cdp %/sym di/in finnair/nn
struktur/nn tubuh/nnc lumba-lumba/nn yang/sc berbentuk/nn kumparan/nn	memberi/vbt	mereka/prp kemampuan/nn bergerak/vbi sangat/rb cepat/nnp di/in dalam/in air/nnu ./.
sementara/nn itu/dt ,/, kementerian/nn luar/nn negeri/nn israel/nn tak/neg bersedia/vbi	memberi/vbt	komentar/nn ./.
bawah/nn klasemen/nn dengan/in 17/cdp poin/nn ,/, semata-mata/nn tidak/neg cukup/jj kuat/jj untuk/in	memberi/vbt	tekanan/nnu pada/in berlin/nn ./.
pakai/vbt sebagai/sc adhesif/nn dalam/in pembuatan/nn kotak-kotak/nn karton/nn gelombang/nn serta/cc	memberi/vbt	sifat/nn tahan/nnu api/nnu ./.
hal/nnc tersebut/dt	memberi/vbt	mereka/prp ancaman/nnu untuk/in melakukan/vbt pemogokan/nn dan/cc kemampuan/nn untuk/in menolak/vbt
pihak/nn soviet/nn berharap/vbt perjanjian/nn perdagangan/nn akan/md	memberi/vbt	mereka/prp status/nnu most/nn favored/nn nation/nn ,/, yang/sc akan/md merendahkan/vbt tarif/nn eks
aya/nn memacu/nn pertumbuhan/nnu tersebut/dt merupakan/vbt prioritas/nn ,/, setelah/sc sebelumnya/sc	memberi/vbt	perhatian/nnc lebih/rb besar/jj terhadap/in pengendalian/nnp inflasi/nn pada/in tahun/nnc ini/dt ./
hkan/nn kemampuan/nn mereka/prp untuk/in naik/nn sepeda/nn dan/cc menyelesaikan/vbt teka-teki/nn ,/,	memberi/vbt	kembali/rb bagian/nnc dari/in masa/nnc kecil/jj mereka/prp walaupun/cc hanya/rb sementara/rb ./.
wai/nnc pemerintah/nnc yang/sc diberi/vbt waktu/nnc istirahat/jj oleh/in atas/in mereka/prp untuk/in	memberi/vbt	suara/nnc ,/, atau/cc rakyat/nnc yang/sc dikumpulkan/vbt dari/in permukiman/nn miskin/nn oleh/in pa
gol/nn juan/nn arango/nn pada/in babak/nn kedua/cdp	memberi/vbt	sedikit/jj keuntungan/nn bagi/in real/nn mallorca/nn setelah/sc mereka/prp mengalahkan/vbt pemimpin
induk/nn yang/sc merawatnya/nn itu/dt	memberi/vbt	makan/nnu anak/nnc cuckoo/nn ,/, yang/sc dikiranya/nn anaknya/nn sendiri/jj ,/, dengan/in hati-hati
diperiksa/vbi oleh/in dewan/nn juri/nn federal/nn di/in newark/nn ,/, dimana/nn para/dt penuntut/nnc	memberi/vbt	tahukan/nn bahwa/sc di/in waktu/nnc dekat/jj mereka/prp akan/md menjatuhkan/vbt dakwaan/nn atas/in
bank/nn indonesia/nn menegaskan/nn akan/md segera/rb	memberi/vbt	sinyal/nn positif/nn ke/in pasar/nnc pada/in pertemuan/nnu dewan/nn gubernur/nn mendatang/nnu untuk
pendukung/nn mengatakan/vbi kontrak/nn berjangka/nn membuat/vbt pasar/nnc lebih/rb efisien/nn dan/cc	memberi/vbt	jalan/nnc bagi/in investor/nnc untuk/in menurunkan/vbt resiko/nn ./.
``/nn walaupun/nn gambaran/nn keseluruhan/nn sangan/nn	memberi/vbt	harapan/nnu ,/, pengelakan/nn pajak/nn korporat/nn yang/sc signifikan/nn tetap/jj berlanjut/vbi ,/,
ya/nn berharap/vbt kunjungan/nn ini/dt dapat/md mencapai/vbt hasil/nnu yang/sc substansial/nn dan/cc	memberi/vbt	motivasi/nn baru/rb dalam/in pengembangan/nnp hubungan/nn secara/in menyeluruh/vbt antara/nnp china
n/vbt tersebut/dt ,/, termasuk/vbt saham/nnc metromedia/nn yang/sc baru/rb diakuisisi/nn ,/, akan/md	memberi/vbt	pada/in entitas/nn baru/rb tersebut/dt 55/cdp juta/cdp pelanggan/nn potensial/nn ,/, termasuk/vbt s
kai/vbt berbeda/vbi ,/, namun/cc demikian/dt setiap/dt bri/nn unit/nn tersebut/dt tetap/jj mampu/vbt	memberi/vbt	kontribusi/cdp laba/nn bagi/in bri/nn ./.
deivid/nn salah/jj tingkah/nnp ketika/sc	memberi/vbt	angka/nnc kepada/in lawannya/nn chelsea/nn ,/, karena/cc melakukan/vbt gol/nn bunuh/nn diri/nnc pad
bi prodi/nn hanya/rb akan/md memerintah/vbt selama/sc beberapa/cdi bulan/nnc dan/cc 22/cdp persen/jj	memberi/vbt	dia/prp waktu/nnc 1/cdp sampai/vbt 2/cdp tahun/nnc ,/, tapi/cc bukan/neg masa/nnc jabatan/nn penuh/
struktur/nn berpori/nn ini/dt	memberi/vbt	telur/nn kelenturan/nn tambahan/nnu dan/cc meningkatan/nn ketahanannya/nn terhadap/in benturan/nn .
keuntungan/nn ini/dt seharusnya/jj	memberi/vbt	kami/prp kepercayaan/nnu diri/nnc untuk/in menghadapi/vbt sisa/nn pertandingan/nnc ,/, katanya/nng
dan/cc sembilan/cdp menit/nn kemudian/sc aiyegbeni/nn yakubu/nn menyamakan/vbt kedudukan/nn untuk/in	memberi/vbt	harapan/nnu kepada/in everton/nn untuk/in mencapai/vbt babak/nn final/nn piala/nn carling/nn itu/dt
mereka/prp mengklaim/nn bahwa/sc fed/nn akan/md pertama-tama/nn	memberi/vbt	lampu/nn hijau/nn pada/in ekonomi/nnu dengan/in cara/nnc membuat/vbt kredit/nn tersedia/vbi dengan/
masuk/vbt seorang/nnc demi/in seorang/nnc ke/in tempat/nnc pemungutan/nn suara/nnc senin/nn untuk/in	memberi/vbt	suara/nnc dalam/in referendum/nn kontroversial/jj mengenai/vbt perubahan/nnu undang-undang/nnc dasa
anggota/nn parlemen/nn	memberi/vbt	suara/nnc 54/cdp berbanding/nn 28/cdp terhadap/in pemerintah/nnc perdana/nn menteri/nn aristide/nn
/cc direktur/nnp sepakbola/nn keith/nn alexander/nn pada/in senin/nn dan/cc keputusan/nn tersebut/dt	memberi/vbt	keajaiban/nn ./.
nn bertelur/nn ,/, ada/vbi petugas/nn khusus/jj yang/sc hanya/rb bertugas/nn merawatnya/nn dengan/in	memberi/vbt	makan/nnu dan/cc membersihkannya/nn ./.
n dua/cdp resolusi/nn baru/rb yang/sc melarang/vbt kebebasan/nn kooperasi/nn :/: yang/sc pertama/cdo	memberi/vbt	kemampuan/nn soviet/nn untuk/in menetapkan/vbt harga/nnc pada/in barang/nnc yang/sc boleh/md dijual
l/nn madrid/nn untuk/in membeli/vbt pemain/nnc tersebut/dt ,/, setelah/sc juara/nn spanyol/nn itu/dt	memberi/vbt	tawaran/nnu 80/cdp juta/cdp euro/nn saat/sc libur/nn musim/nnc ./.
struktur/nn ini/dt	memberi/vbt	tulang/nnc keluwesan/nn dan/cc keringanan/nn tanpa/rb harus/md kehilangan/vbt kekuatannya/nn ./.
komisi/nnc surat-surat/nns berharga/vbi dan/cc bursa/nnc	memberi/vbt	persetujuan/nn enam/cdp bulan/nnc sementara/rb pada/in keranjang/nn big/nn board/nn pada/in pertemu
k/in indonesia/nn ,/, joachim/nn von/nn amsberg/nn mengatakan/vbi bank/nn dunia/nn tidak/neg lagi/in	memberi/vbt	pinjaman/nn murah/jj pada/in indonesia/nn menyusul/vbt keberhasilan/nnp indonesia/nn masuk/vbt dala
sensor-sensor/nn yang/sc ada/vbi pada/in indra/nn manusia/nnc	memberi/vbt	inspirasi/nn pada/in perlunya/nn sensor-sensor/nn biomimetik/nn ./.
jika/nn saham/nnc emas/nnu dan/cc kegunaan/nn terus/rb memimpin/vbt ,/, hal/nnc itu/dt dapat/md	memberi/vbt	sinyal/nn bahwa/sc pasar/nnc akan/md menghadapi/vbt masa/nnc yang/sc sulit/rb ./.
s/nn selama/sc kurang/rb lebih/rb 18/cdp bulan/nnc ``/nn pada/in merek/vbt premium/nn mereka/prp ,/,	memberi/vbt	harga/nnc produk/nnc mereka/prp sebesar/rb 25/cdp sen/nn untuk/in 12/cdp pak/nn dibawah/nn label/nn
sc dikeluarkan/vbi ifc/nn international/nn finance/nn corporation/nn dan/cc bank/nn dunia/nn akan/md	memberi/vbt	penjelasan/nn apa/wrb yang/sc bisa/md dilakukan/vbi pemerintah/nnc untuk/in meningkatkan/vbt kemuda
residen/nnc irak/nn saddam/nn hussein/nn adalah/vbt orang/nnc yang/sc keranjingan/nn membaca/vbt ,/,	memberi/vbt	makan/nnu burung/nn dan/cc suka/vbi berkelakar/nn sewaktu/nn ia/prp berada/vbi dalam/in tahanan/nn
hal/nn tersebut/dt	memberi/vbt	mereka/prp keuntungan/nn strategi/nn yang/sc patut/nn dicemburui/nn ,/, paling/jj tidak/neg sampai/
reaksi/nn dari/in pelaku/nnc lokal/nnu dengan/in membaiknya/nn yen/nn yang/sc diharapkan/vbi akan/md	memberi/vbt	nilai/nnc positif/nn terhadap/in rupiah/nn ,/, tambahnya/nng ./.
pertemuan/nn puncak/nnu luar/jj biasa/jj itu/dt	memberi/vbt	mandat/nn yang/nn mulia/nn presiden/nn thabo/nn mbeki/nn untuk/in terus/rb memfasilitasi/nn dialog/
saya/prp hanya/rb bisa/md	memberi/vbt	selamat/nn bagi/in belanda/nn ,/, mereka/prp tim/nnp yang/sc lebih/rb baik/jj dan/cc pantas/jj mena
ia/nn menemui/nn saddam/nn dua/cdp kali/nnc sehari/nnc ,/,	memberi/vbt	dia/prp obat/nn setiap/dt hari/nnc ,/, memeriksa/vbt tekanan/nnu temperaturdan/nn darahnya/nn dan/c
minggu/nn lalu/jj ,/, presiden/nnc telah/md setuju/nn untuk/in terus/rb	memberi/vbt	informasi/nnu pada/in komite/nn ,/, biasanya/jj sebelumnya/sc ,/, tentang/in aksi-aksi/nn terselubu
betul/nn bahwa/sc mccaw/nn terlihat/vbi	memberi/vbt	sinyal/nn tentang/in mungkin/rb diambilnya/nn pilihan/nnc tersebut/dt dalam/in pernyataan/nnu singk
dua/cdp tendangan/nn jarak/nn jauh/jj yang/sc mengesankan/vbt pada/in menit-menit/nn terakhir/jj	memberi/vbt	tunisia/nn dan/cc afrika/nn selatan/nn bermain/jj imbang/nn dalam/in pertandingan/nnc pembuka/nn gr
alves/nn dan/cc seydou/nn keita/nn	memberi/vbt	sevilla/nn keunggulan/nn 2-0/nn pada/in 10/cdp menit/nn pertama/cdo namun/cc gol/nn dari/in striker
/nn bahwa/sc pengadilan/nnc belum/neg terjadi/vbi menjengkelkan/nn kami/prp dan/cc kami/prp sudah/md	memberi/vbt	alasan/nn sangat/rb kuat/jj kepada/in amerika/nn serikat/nn bahwa/sc persoalan/nn itu/dt perlu/md d
italia/nn gianluca/nn zambrotta/nn melakukan/vbt handsball/nn di/in area/nnc penalti/nn sehingga/sc	memberi/vbt	tendangan/nn penalti/nn bagi/in levante/nn ,/, yang/sc dilakukan/vbi dengan/in pantas/jj oleh/in ri
pasalnya/nn ,/, kegiatan/nnu ini/dt bukan/neg bisnis/nn inti/nn antam/nn dan/cc hanya/rb	memberi/vbt	kontribusi/cdp yang/sc sangat/rb kecil/jj pada/in perseroan/nn ./.
uhan/nnu banyak/jj kota/nnc untuk/in membangun/vbt kembali/rb infrastruktur/nn yang/sc hancur/nn ,/,	memberi/vbt	kesan/nn persediaan/nn terbitan/nn baru/rb akan/md tersu/nn meningkat/vbt dnegan/nn tajam/jj --/--
ntara/rb temperatus/nn naik/nn ,/, demikian/dt antara/nnp lain/jj isi/nn laporan/nnc baru/rb yang/sc	memberi/vbt	perincian/nn regional/nn tentang/in studi/nnc panel/nn iklim/nn pbb/nn tentang/in pemanasan/nn glob
sedangkan/nn ,/, kinerja/nn ekspor/nn non/nn migas/nn yang/sc pada/in 2006/nn	memberi/vbt	kontribusi/cdp sangat/rb besar/jj pada/in pertumbuhan/nnu ,/, akan/md mengalami/vbt kenaikan/nn per
t perjalanan/nnu setelah/sc menunjukkan/vbt surat/nnc dari/in pemerintah/nnc setempat/jj ,/, yang/sc	memberi/vbt	kelonggaran/nn khusus/jj kepadanya/nn saat/sc melanggar/vbt hukum/nnu ./.
seperti/nn diketahui/nn ,/, nts/nn selama/sc ini/dt	memberi/vbt	layanan/nn seluler/nn di/in wilayah/nnc jawa/nn timur/nn dengan/in jumlah/nnu pelanggan/nn saat/sc
haniyah/nn tak/neg	memberi/vbt	perincian/nn mengenai/vbt rencana/nnu tersebut/dt ,/, yang/sc dirancang/vbt oleh/in menteri/nn dala
kebon/nn binatang/nnp itu/dt ditutup/vbi kamis/nn ,/, dan/cc tak/neg bersedia/vbi	memberi/vbt	komentar/nn tapi/cc seorang/nnc pekerjanya/nn rabu/nn menggambarkan/vbi serangan/nnu tersebut/dt se
gi/in iran/nn karena/cc menolak/vbt menghentikan/vbt kegiatan/nnu pengayaan/nn uranium/nn ,/, dan/cc	memberi/vbt	waktu/nnc sampai/vbt 21/cdp februari/nn untuk/in menuruti/nn resolusi/nn atau/cc menghadapi/vbt san
sebelumnya/nn ,/, marcelinho/nn mencetak/nn gol/nn saat/sc perpanjangan/nn waktu/nnc untuk/in	memberi/vbt	vfl/nn wolfsburg/nn kemenangan/nn 2-1/nn atas/in hamburg/nn sv/nn dalam/in pertandingan/nnc perempa
otot-otot/nn biologi/nn sebagai/sc penggerak/nn	memberi/vbt	inspirasi/nn pada/in otot-otot/nn buatan/nn untuk/in pengembangan/nnp mesin/vbt atau/cc robot/nn bi
n mengkaji/nn kebijakan/nnu anti-gangguan/nn mereka/prp setiap/dt tiga/cdp tahun/nnc dan/cc mesti/nn	memberi/vbt	perhatian/nnc lebih/rb besar/jj bagi/in korban/nnc gangguan/nnu dalam/in kesehatan/nnu masyarakat/n
pihak/nn perbankan/nn kebanyakan/nnu akan/md merasa/vbt sia-sia/nn dalam/in	memberi/vbt	pelayanan/nnu kepada/in mereka/prp ./.
seorang/nn arbitrator/nn memutuskan/vbi	memberi/vbt	pilot-pilot/nn eastern/nn airlines/nn tunggakan/nn pembayaran/nn mereka/prp sejumlah/cdi antara/nnp
gol/nn robbie/nn keane/nn yang/sc ke-99/jj bagi/in tottenham/nn	memberi/vbt	timnya/nn kemenangan/nn 1-0/nn di/in kandang/nn reading/nn ./.
langkah/nn tersebut/dt akan/md memotong/vbt ongkos/nn perantara/nn dan/cc	memberi/vbt	specialized/nn kontrol/nn lebih/rb besar/jj di/in pasar/nnc dan/cc penjualan/nnu ./.
el-lah/nn yang/sc menyiapkan/vbt gol/nn dengan/in umpan/nn yang/sc melewati/nn pertahanan/nn yang/sc	memberi/vbt	ruang/nnc bagi/in pantelic/nn dan/cc pemain/nnc asal/nn serbia/nn itu/dt tidak/neg membuat/vbt kesa
egate/nn ,/, memilih/vbt sabtu/nn untuk/in meminta/vbt hakim/nn ketua/nn sol/nn wachtler/nn untuk/in	memberi/vbt	program/nnp sukarela/nn tiga/cdp tahun/nnc untuk/in membuktikan/nn kefektifitasan/nn sebelum/sc mem
ini/dt baru/rb pertama/cdo kali/nnc komponen/nnc di/in luar/jj konsumsi/nn rumah/nnc tangga/nnc	memberi/vbt	konsumsi/nn terbesar/jj ,/, katanya/nng ./.
,/, asisten/nnp pengacara/nn a.s./nn yang/sc mengadili/nn kasus/nnc ini/dt ,/, menolak/vbt untuk/in	memberi/vbt	komentar/nn atas/in sidang/nnc tersebut/dt ./.
memang/nn ada/vbi pikiran/nnu agar/in pemerintah/nnc	memberi/vbt	dana/nnc talangan/nn ,/, namun/cc dana/nnc talangan/nn itu/dt tidak/neg diperlukan/vbt karena/cc pt
engan/in perilaku/nn mr./nn dinkins/nn di/in berbagai/cdi rapat/jj sampai-sampai/nn ia/prp tidak/neg	memberi/vbt	dukungannya/nn untuk/in usaha/nnu mr./nn dinkins/nn meraih/nn jabatan/nn walikota/nn sampai/vbt akh
mereka/prp adalah/vbt tim/nnp top/nn dan/cc selalu/rb	memberi/vbt	kami/prp permainan/nn yang/sc hebat/jj ./.
k/in menciptakan/vbt kesamaan/nn langsung/jj guna/nn mendorong/vbt proses/vbi perundingan/nn yang/sc	memberi/vbt	hasil/nnu ,/, kata/vbt olmert/nn kepada/in kabinetnya/nn ,/, ahad/nn ./.
ini/dt sangat/rb meyakinkan/nn dan/cc	memberi/vbt	suasana/nnu kondusif/nn ./.
